AOD,cummulative_cr_amount,cummulative_dr_amount,channel,output
36,60504,89239,1,0
31,14204,34783,0,0
20,73639,69225,0,0
35,53613,96341,0,0
36,21892,63023,0,0
32,64543,66404,0,0
38,9905,2164,1,0
27,26257,11288,0,0
37,68871,40419,0,0
20,30366,76932,0,0
25,36650,39613,0,0
34,39474,99143,0,0
22,10423,54076,1,0
26,88909,17092,0,0
29,28714,1058,0,0
22,45814,53123,0,0
34,98262,24960,0,0
36,45061,30697,0,0
40,18111,70295,1,0
30,46798,42494,0,0
37,78623,33113,1,0
39,94448,36206,1,0
23,63511,13616,0,0
40,23135,25977,0,0
39,28974,11324,1,0
27,8709,31526,0,0
35,41440,4442,1,0
37,32950,35009,0,0
39,73641,72269,1,0
28,70964,46765,1,1
22,56142,94589,1,1
37,65713,25460,1,0
39,88774,32161,0,0
26,68582,10888,1,0
36,72399,69107,1,0
29,31182,54798,0,0
22,53505,21650,0,0
39,13613,21017,1,0
29,75270,19525,0,0
22,32412,39338,1,0
38,6876,73858,0,0
31,72360,54852,0,0
24,18654,79385,0,0
31,7788,16457,0,0
39,3341,84053,1,0
26,22418,71895,0,0
30,62509,18420,0,0
38,14627,47265,0,0
39,42531,25290,0,0
28,47299,94608,1,0
35,98129,4250,1,0
23,21510,16566,1,0
35,70569,76718,1,0
28,80686,68028,0,0
38,53309,95189,0,0
35,97656,34048,0,0
31,41339,47035,0,0
28,92190,96542,1,1
26,31763,53298,0,0
24,58091,71751,0,0
35,5927,87952,1,0
22,81778,94735,1,1
24,86257,62192,1,1
36,64014,83656,1,0
38,49536,35741,1,0
36,51268,53777,0,0
32,55429,82278,1,0
40,37101,44692,1,0
22,18137,48504,1,0
32,31820,6503,1,0
28,54772,71739,0,0
27,18196,47590,1,0
28,25976,88682,1,0
39,8675,50485,1,0
22,7349,31268,0,0
31,10874,44476,0,0
35,78623,36563,1,0
38,14337,51787,1,0
39,61907,69009,0,0
21,16230,46811,1,0
26,46538,57404,0,0
31,14820,45708,1,0
30,72182,48895,0,0
23,95391,42285,1,1
35,61233,72050,1,0
30,18427,85279,0,0
34,72266,67101,1,0
28,59001,37373,0,0
36,50219,51704,0,0
36,3429,14849,0,0
35,40803,67295,0,0
34,97702,99134,0,0
35,14676,76645,1,0
38,70536,65313,0,0
23,35500,74074,0,0
39,82481,72756,1,0
20,98067,88109,1,1
34,52911,86611,1,0
25,62042,90583,1,1
27,2282,70686,1,0
39,59784,40945,0,0
39,50974,95184,1,0
29,6557,93627,1,0
24,31840,84642,1,0
31,8103,83797,0,0
37,43637,15115,1,0
39,73650,36853,0,0
34,6496,9156,0,0
38,5992,70138,1,0
31,17774,93690,0,0
31,9633,86083,1,0
36,65812,28502,0,0
34,43140,99556,0,0
29,64361,44435,1,1
32,95506,72311,0,0
24,4220,86188,0,0
27,89679,68479,0,0
21,11600,92941,1,0
25,73936,3167,1,0
25,80266,34648,1,0
35,44988,55900,1,0
22,79351,84184,1,1
30,23397,60603,0,0
27,12596,58710,0,0
40,97962,29750,0,0
39,90893,80561,0,0
27,70768,66530,0,0
35,64855,64513,0,0
30,94179,89546,0,0
32,51090,7675,0,0
32,40571,48740,0,0
33,33832,60813,0,0
24,3124,40294,1,0
40,77098,1861,0,0
35,80726,13912,1,0
33,45900,58081,1,0
37,42641,86313,0,0
32,90393,16409,0,0
37,86208,17829,0,0
40,11254,97766,0,0
39,51339,76160,0,0
33,81723,24346,1,0
36,76521,45355,1,0
29,44355,37507,1,0
38,56855,81116,0,0
40,93870,24133,0,0
33,8337,64206,0,0
38,84860,43296,1,0
33,75089,16108,0,0
33,20018,51437,1,0
29,58216,98452,0,0
25,33431,34880,1,0
36,1360,46302,0,0
39,34741,63634,0,0
38,39788,66644,1,0
31,26106,53511,0,0
31,27355,90651,0,0
26,17102,69407,1,0
35,40629,44027,1,0
40,59984,41076,0,0
22,12336,47368,0,0
25,6934,29720,1,0
36,21213,50608,1,0
22,56346,62799,1,1
29,12911,63378,0,0
31,65671,79314,1,0
33,72081,94774,1,0
34,48315,94340,1,0
38,89278,69809,0,0
38,37910,1278,0,0
39,54889,49821,0,0
22,8566,78984,0,0
39,85211,58315,1,0
22,19265,71022,1,0
25,9137,11646,1,0
21,40098,58046,0,0
38,45392,60384,1,0
31,31891,78425,1,0
27,94712,27521,0,0
32,47171,23279,0,0
39,56288,88733,0,0
40,70344,25769,0,0
39,50609,29589,0,0
36,81478,33137,1,0
21,29878,31165,1,0
32,89977,20221,1,0
40,90076,62444,0,0
23,91945,66965,1,1
32,75210,80313,0,0
28,78279,16315,1,0
29,55477,36897,1,0
39,87710,41764,0,0
38,18270,62489,1,0
24,90164,66165,1,1
29,51655,77573,0,0
24,32394,57633,0,0
21,95761,72436,0,0
32,50193,15164,1,0
30,29239,32013,0,0
39,30000,38010,0,0
26,43482,96777,1,0
23,25130,85813,0,0
37,30348,93696,1,0
25,73642,68989,1,1
23,1098,79396,0,0
40,63727,38245,1,0
31,80966,26015,0,0
20,62743,22963,0,0
27,94020,17071,1,0
34,82618,8005,1,0
32,53504,46838,0,0
21,36675,93079,1,0
23,7574,45593,0,0
35,71748,29397,1,0
35,70253,27108,1,0
40,92231,19701,1,0
30,4077,12119,0,0
32,87388,72089,1,0
40,68321,89817,0,0
24,90856,95748,0,0
26,12683,54794,0,0
29,12927,54265,1,0
35,18722,5489,1,0
27,63044,56779,1,1
23,86772,85956,0,0
24,97723,56427,1,1
26,4404,70234,1,0
38,62533,27333,1,0
35,1404,88848,1,0
28,81591,88700,1,1
32,97672,13280,1,0
26,5657,80178,1,0
20,93031,92306,0,0
34,54564,83232,1,0
20,89845,22779,0,0
39,21333,93246,1,0
20,94618,68920,1,1
22,28383,49831,1,0
20,25297,82219,0,0
35,70316,16818,0,0
23,49250,66632,1,0
27,86732,27748,1,0
28,27223,48663,1,0
36,96748,9772,0,0
27,5312,8592,0,0
33,47125,77636,1,0
35,27422,74453,0,0
21,82230,41122,1,1
34,85820,38056,1,0
21,78951,26664,1,0
23,69256,59422,1,1
34,3054,92459,1,0
40,28826,84294,1,0
28,53602,29647,0,0
31,75900,18346,1,0
32,86692,73991,0,0
36,7750,25432,0,0
26,18226,93219,1,0
27,12125,72491,1,0
27,12682,79718,1,0
30,14420,78867,0,0
22,95330,68049,1,1
30,89669,94331,1,0
36,80965,11751,1,0
23,96806,38210,1,0
20,23920,78601,0,0
20,72377,14570,1,0
21,18711,33438,0,0
28,51881,45247,0,0
24,6880,27641,1,0
22,7636,97370,0,0
40,97124,56616,0,0
38,44522,92758,1,0
33,48576,39571,0,0
35,57909,86734,1,0
23,12687,53253,1,0
26,16736,40390,1,0
26,76564,48832,1,1
32,10051,72498,1,0
39,52730,27132,0,0
26,10717,62002,1,0
32,49500,88315,0,0
33,37078,37357,1,0
37,7265,3284,1,0
29,91419,81905,0,0
33,49400,29660,1,0
36,83189,17017,1,0
26,6080,70395,1,0
25,57613,24562,0,0
31,15299,55646,1,0
33,84874,73779,1,0
26,78217,63985,0,0
35,7266,41099,0,0
35,44830,85477,0,0
39,38567,55182,1,0
25,96140,93316,0,0
29,74435,9904,1,0
22,34749,40815,0,0
25,60772,96519,1,1
39,32687,17847,1,0
27,14498,72305,1,0
35,75121,75159,0,0
33,99538,70848,1,0
40,37362,25357,1,0
32,67344,78198,0,0
30,45577,83583,1,0
33,38336,25404,1,0
27,36939,8576,1,0
22,57423,2169,1,0
36,77441,97242,1,0
22,90307,72249,0,0
26,71924,86037,0,0
31,13890,14326,1,0
36,25721,35310,1,0
23,79634,63752,0,0
29,14361,7447,1,0
25,53452,9565,0,0
29,6187,19264,1,0
30,18778,94958,0,0
21,47050,37515,1,0
21,4369,2371,0,0
21,1565,90767,0,0
39,55424,92920,0,0
25,96369,23095,1,0
25,51619,64403,0,0
24,52729,67965,1,1
24,73019,12881,1,0
38,95244,1961,0,0
28,77495,44940,1,1
37,5418,93886,0,0
25,65402,79827,1,1
29,34398,11110,1,0
40,72082,6082,1,0
30,81588,41592,0,0
20,86080,80710,1,1
38,64773,88411,0,0
28,7288,88362,0,0
26,96883,3599,0,0
36,40330,25821,1,0
20,89588,43649,1,1
28,89276,80549,1,1
28,32339,28580,0,0
30,17281,59804,0,0
35,7510,24822,1,0
24,34160,42228,1,0
30,73819,96431,1,0
36,30630,68562,0,0
34,22352,20576,1,0
26,18581,40317,0,0
33,46011,37084,1,0
28,76575,28625,0,0
35,77605,73348,0,0
21,80054,66981,0,0
30,14844,92061,0,0
34,44423,83840,0,0
29,77903,65753,0,0
34,65134,43904,0,0
26,75680,74684,1,1
21,45391,60302,0,0
39,77694,8452,1,0
29,36444,76733,0,0
35,23271,58007,0,0
21,83670,27161,0,0
40,51987,99142,0,0
39,87707,90786,0,0
38,57781,82794,1,0
39,24973,29598,0,0
35,19023,32817,0,0
20,49550,56238,0,0
29,59946,76254,0,0
40,99096,92307,1,0
27,20980,85529,1,0
20,66274,13061,0,0
30,74634,3221,1,0
33,34711,81867,0,0
28,85868,32427,0,0
31,86173,54293,1,0
36,43605,23425,1,0
31,72638,30795,0,0
20,6855,85508,0,0
39,64673,2137,1,0
25,60178,77361,1,1
29,28346,91369,0,0
38,59687,48088,0,0
28,1540,70939,1,0
25,43368,72590,0,0
30,4996,62439,1,0
31,6851,94792,0,0
37,43580,40595,0,0
36,68354,8046,0,0
39,65122,67038,1,0
40,89552,27289,0,0
24,96546,41378,1,1
28,93369,81138,0,0
22,54232,91282,0,0
32,65592,59660,1,0
36,12092,36742,1,0
30,68107,78425,1,0
38,14105,40227,0,0
33,84010,85696,0,0
40,12366,2371,1,0
32,11757,26937,0,0
23,92201,80079,1,1
37,91779,31397,0,0
32,9594,79467,1,0
30,10446,53921,0,0
33,9962,51473,1,0
38,39303,69933,0,0
34,81024,83661,0,0
38,4051,91508,0,0
40,66179,14155,1,0
39,35790,53181,0,0
33,57084,76469,0,0
40,36870,2729,1,0
28,25634,47116,0,0
20,26272,52966,1,0
20,89203,70851,1,1
21,87806,57265,1,1
39,39598,61311,0,0
39,54759,37503,0,0
32,49100,15783,0,0
31,24516,46062,0,0
26,33399,75645,1,0
32,88394,25197,1,0
33,65617,49086,0,0
21,12446,68634,1,0
30,92729,67129,1,0
37,10857,42993,0,0
40,22410,35204,1,0
23,63989,37233,0,0
21,3550,22530,1,0
29,50197,65370,0,0
20,23637,42351,0,0
37,39670,65622,0,0
20,33763,83034,1,0
23,59412,86249,0,0
36,65037,40394,0,0
24,92641,4203,0,0
40,65950,19950,1,0
40,26594,65864,1,0
34,26635,65358,1,0
35,96983,9898,0,0
39,23494,13787,1,0
26,84561,17100,0,0
37,48642,55707,0,0
27,63114,44630,0,0
26,47451,57871,1,0
26,34711,69108,0,0
20,24176,53346,0,0
26,20213,53489,0,0
39,6598,44640,0,0
20,8243,88115,0,0
33,39794,77504,1,0
38,21385,68452,1,0
28,79918,45777,0,0
27,35253,35368,1,0
31,92657,86429,1,0
29,18015,66771,0,0
31,18015,87183,1,0
23,3329,25605,1,0
36,29637,88268,1,0
33,31527,30414,0,0
34,67844,98110,1,0
22,68842,94963,0,0
33,30195,48714,0,0
37,52956,59765,1,0
23,16889,87881,0,0
28,81096,90926,1,1
22,60136,65902,0,0
35,12156,12362,1,0
33,34338,3744,0,0
30,54041,6048,1,0
23,46677,50904,1,0
20,93692,10276,0,0
20,5744,96748,1,0
20,84399,90316,0,0
24,87874,44091,0,0
27,42128,7473,0,0
39,9005,61738,1,0
37,11153,71430,1,0
33,56900,27888,1,0
32,89821,20017,1,0
20,65155,33432,0,0
25,32593,82062,1,0
21,77155,75031,1,1
40,21509,53801,1,0
25,93895,12864,1,0
36,27475,21919,1,0
34,80458,52165,0,0
32,38564,47618,1,0
21,53181,59117,0,0
20,95533,1115,1,0
34,4385,20596,0,0
30,22615,57362,1,0
35,91602,52051,0,0
25,74925,93532,1,1
36,65356,9382,0,0
27,68767,42240,0,0
33,57854,35490,0,0
24,39339,52978,0,0
28,22668,77212,0,0
22,22614,87043,0,0
36,66741,41680,0,0
35,91918,40776,1,0
34,19756,87416,0,0
27,52238,16655,0,0
32,56931,31450,0,0
28,99799,33004,1,0
29,32365,5189,0,0
29,9755,73291,1,0
20,28910,20010,1,0
33,85357,52977,0,0
29,90322,11048,0,0
23,81544,85142,0,0
37,2482,64804,0,0
20,18702,45646,1,0
27,24149,11295,1,0
27,11972,42289,0,0
21,49906,75781,0,0
40,39382,96869,1,0
34,16297,63024,0,0
35,63226,98051,0,0
37,26376,54675,0,0
21,88069,31859,1,0
26,2208,53861,1,0
38,24088,44006,1,0
33,97655,67324,1,0
25,80732,11121,0,0
35,90460,98466,1,0
20,69003,39617,0,0
26,60858,12569,0,0
34,71292,28863,0,0
21,31112,2239,0,0
23,32698,51221,0,0
37,93003,9446,1,0
25,75699,33100,1,0
20,42938,79254,1,0
36,62979,41685,0,0
36,65842,12499,0,0
25,1376,57470,0,0
38,95192,56401,0,0
37,90312,63537,1,0
25,58993,68763,0,0
27,92370,96155,0,0
28,87284,28300,0,0
29,93502,81522,1,1
37,55576,14332,0,0
35,44317,85474,1,0
20,16821,29971,0,0
33,40735,17286,0,0
30,49687,66256,0,0
28,28706,97175,0,0
28,51503,13078,0,0
38,62248,80578,0,0
27,11039,76297,1,0
25,28587,22493,0,0
28,72281,90878,1,1
26,62656,6882,1,0
33,71861,92189,1,0
40,56270,92142,0,0
37,37487,12192,0,0
35,39573,7763,0,0
29,61041,56442,0,0
20,96647,49233,1,1
35,44292,2113,0,0
37,56581,46368,0,0
34,36007,37162,1,0
21,12869,58144,1,0
26,51271,51519,1,1
34,79737,43710,1,0
20,33735,72540,0,0
30,22572,51923,0,0
38,50150,8993,1,0
35,47580,51320,0,0
40,79255,78654,0,0
23,88152,62522,0,0
27,78713,84299,1,1
40,62748,25925,0,0
40,87557,15507,1,0
34,1484,47578,1,0
32,84243,61841,1,0
33,41086,25057,0,0
31,71813,45286,0,0
25,55874,34955,0,0
34,14777,21181,0,0
38,61866,35499,0,0
24,58804,23377,1,0
31,41865,32117,0,0
34,91090,31053,0,0
37,58876,38821,0,0
20,20722,57374,0,0
25,68355,42486,0,0
40,22458,22958,1,0
39,12665,36780,0,0
34,75171,81961,1,0
20,40964,3932,1,0
29,89967,74773,1,1
27,71998,93145,0,0
22,22484,36543,1,0
26,73872,17212,1,0
20,31177,86604,0,0
34,21508,97442,1,0
39,3933,33980,1,0
35,37874,44012,1,0
21,37901,7954,1,0
36,53431,84275,1,0
37,44111,44978,1,0
22,47334,2687,0,0
24,27650,17094,1,0
39,2139,35621,1,0
20,65310,90342,1,1
38,57274,47423,0,0
38,70333,90106,0,0
31,53375,84797,1,0
27,36467,63502,1,0
32,60884,70151,0,0
36,19939,45837,1,0
32,56427,40458,1,0
36,53162,70443,0,0
33,83070,24572,1,0
38,23016,54327,1,0
29,4212,39292,1,0
40,66908,23862,0,0
34,26561,79894,1,0
36,58997,6196,1,0
37,37609,17126,1,0
23,58501,78485,0,0
40,90670,2349,0,0
37,8747,61891,0,0
26,14761,4354,0,0
39,70187,46129,0,0
30,42057,28930,0,0
28,55017,92367,0,0
28,40951,24957,0,0
30,36157,89041,0,0
28,45698,77738,0,0
29,7638,68625,1,0
31,91127,49536,1,0
20,13036,49126,1,0
28,9326,16512,1,0
27,46696,25368,1,0
22,15425,62819,0,0
32,82382,59651,1,0
22,66385,29137,0,0
23,31998,34627,1,0
31,55752,82144,0,0
33,93704,62737,0,0
38,76039,27120,0,0
22,83641,76555,1,1
40,57274,67401,0,0
29,2734,20454,0,0
25,4637,24223,1,0
29,44177,68950,0,0
22,24322,34864,1,0
39,72378,44229,1,0
23,38626,64554,0,0
23,18170,94605,0,0
26,73105,21942,0,0
27,34437,69834,1,0
20,79039,32216,1,0
35,2061,40506,0,0
33,65841,90386,1,0
25,24875,44119,0,0
23,80821,93070,0,0
38,94037,97608,0,0
22,90923,66300,1,1
21,46384,78944,1,0
24,10306,6823,1,0
23,14634,9558,1,0
33,12682,45844,1,0
35,84300,93060,1,0
21,61986,48599,1,1
35,13962,97627,0,0
36,39891,70455,1,0
27,71665,42016,1,1
37,72147,79959,0,0
34,95918,7171,0,0
28,37042,25281,0,0
24,49886,11879,0,0
33,5591,72987,1,0
24,19578,46388,1,0
22,87115,2477,0,0
32,59108,16894,1,0
25,44281,39385,0,0
24,49565,67062,0,0
38,91720,90652,1,0
28,88447,98180,0,0
40,69664,34256,0,0
24,11041,30107,0,0
32,12790,39677,1,0
23,5058,78969,0,0
28,22963,66812,0,0
37,40671,87064,0,0
31,74249,82599,0,0
38,5662,11502,0,0
22,82395,59333,1,1
36,90498,51880,0,0
40,29213,49049,0,0
29,94712,84750,1,1
25,60967,29300,1,0
36,18435,51828,1,0
38,13289,11501,0,0
23,68967,47220,1,1
21,74223,14468,1,0
34,55198,90192,0,0
36,12074,59694,1,0
31,13547,35142,0,0
20,55585,1758,0,0
31,72771,27936,1,0
39,26995,96341,0,0
32,83320,60245,0,0
26,78289,76204,1,1
22,44413,85355,0,0
24,81545,73938,1,1
32,86909,81239,1,0
32,43459,76260,0,0
24,84447,74162,1,1
40,42333,61215,1,0
32,12527,85271,0,0
23,63070,42915,1,1
23,38191,77472,0,0
27,72826,48801,1,1
35,43251,20636,1,0
36,63291,31166,1,0
27,40682,9744,1,0
40,99151,93915,0,0
30,42226,97596,0,0
36,53424,28660,0,0
26,14163,43690,1,0
21,95874,65892,0,0
38,79010,50403,0,0
23,7287,22745,0,0
38,13864,84776,0,0
35,36643,27585,0,0
26,46601,24257,1,0
39,44608,63513,0,0
20,78383,29542,0,0
33,3558,16660,0,0
21,80090,18706,1,0
21,32353,47148,0,0
34,81557,12595,0,0
34,89366,68550,1,0
22,26303,70538,0,0
29,49473,51990,0,0
25,78986,2544,1,0
29,57703,96022,1,1
21,47359,45977,0,0
23,75928,1085,0,0
25,48524,36109,0,0
26,39858,34289,1,0
21,38806,22077,0,0
36,85175,68816,0,0
34,72775,48133,0,0
35,99864,24132,0,0
35,70607,44116,1,0
21,19296,63590,0,0
24,50661,66476,1,1
35,34703,12967,0,0
23,64720,23883,1,0
29,25952,71068,1,0
24,21430,78709,0,0
28,8220,96268,0,0
36,92064,89506,1,0
28,31835,67360,0,0
32,86501,53361,1,0
32,61967,6743,1,0
29,29155,35407,1,0
30,97824,79089,0,0
26,66615,45895,1,1
21,86609,20910,0,0
22,89082,12603,1,0
34,98106,94198,0,0
36,51724,2407,1,0
30,22265,27955,1,0
37,66866,23522,0,0
36,13704,22730,1,0
39,47289,89434,0,0
36,95380,2849,0,0
24,42996,36955,1,0
30,56624,98504,0,0
40,91492,76051,0,0
33,56811,21929,1,0
32,73784,8582,1,0
39,19613,29205,1,0
33,5470,93829,0,0
25,7495,25771,1,0
24,8918,25583,0,0
27,94296,75506,0,0
26,78412,65015,1,1
31,46604,53042,0,0
30,44129,51203,0,0
34,21702,96543,1,0
34,94517,21621,1,0
39,37495,84900,0,0
22,92439,30595,0,0
27,89639,52499,0,0
33,65513,84507,1,0
34,39907,38342,1,0
31,73984,13144,1,0
38,4830,41236,1,0
31,13138,11767,1,0
39,41004,8052,1,0
25,77683,83891,1,1
32,83849,71062,0,0
31,85657,6695,1,0
40,68034,66166,0,0
22,64376,9390,0,0
31,99842,83797,0,0
28,71372,46913,0,0
20,38902,60207,0,0
29,18746,19515,0,0
40,27328,73662,0,0
37,54487,62747,0,0
24,49181,31439,0,0
38,68193,3828,0,0
20,80627,78167,0,0
39,13325,97457,0,0
38,5381,26478,1,0
36,80764,95263,1,0
21,83183,40474,1,1
26,54505,91077,1,1
22,62032,94976,0,0
38,92612,40693,0,0
31,91906,38937,1,0
25,21141,33983,1,0
28,22451,46102,1,0
27,37512,33645,0,0
38,29415,58952,0,0
40,66610,41567,1,0
24,30172,84468,0,0
32,3479,58066,0,0
22,37838,77296,1,0
26,87173,64843,0,0
20,54266,86577,1,1
32,28148,48334,1,0
36,27398,92207,0,0
33,25253,21247,1,0
32,24905,32791,1,0
40,7814,32799,0,0
29,82191,25601,1,0
32,37989,54465,1,0
31,17664,11666,1,0
21,18507,66543,1,0
27,54254,32759,1,0
28,18715,33826,0,0
37,44640,61664,1,0
25,38846,25738,0,0
30,46100,73671,1,0
22,4518,79671,1,0
28,81463,17614,0,0
37,31443,91502,1,0
35,61523,25815,0,0
22,82641,26810,1,0
36,20955,14894,0,0
30,99115,18719,1,0
35,89403,51059,1,0
21,27369,90361,1,0
23,90528,14838,0,0
28,81044,14504,0,0
23,89738,89073,0,0
34,92170,62723,1,0
31,97096,97305,1,0
33,69834,34666,0,0
23,96847,20047,0,0
20,42110,37193,1,0
32,82719,18375,0,0
34,99702,4343,0,0
21,25617,9291,1,0
37,10609,19566,1,0
26,21387,38816,1,0
20,88087,81702,0,0
37,48049,21277,1,0
28,40360,16579,1,0
22,92338,77571,1,1
30,87166,34117,1,0
21,93678,64829,0,0
30,57981,90096,1,0
28,31724,62723,1,0
27,71680,48957,1,1
37,43735,33226,1,0
24,25465,16424,1,0
26,11210,61118,0,0
31,72289,43574,0,0
20,46403,80073,0,0
22,23134,90366,1,0
21,38234,76210,1,0
32,89418,68947,1,0
21,17171,14458,1,0
25,58654,12483,0,0
20,6604,76514,0,0
40,95711,10278,0,0
22,66471,43891,1,1
30,3122,78145,1,0
26,26820,44609,0,0
24,69425,23370,1,0
39,44162,98905,0,0
24,89977,37283,0,0
21,86337,6942,0,0
40,16965,37186,0,0
40,89308,39483,1,0
31,36365,13212,0,0
26,6760,87688,0,0
39,30673,64484,0,0
20,27927,23369,0,0
35,61350,37138,0,0
25,39267,10837,1,0
35,15652,49934,0,0
22,76587,47640,1,1
27,69210,67842,0,0
29,16175,53117,0,0
27,75490,92325,1,1
40,19484,30039,0,0
22,65665,6138,1,0
39,80774,81060,0,0
23,37829,10816,1,0
25,22592,81091,1,0
35,85167,58064,1,0
40,30409,29123,1,0
29,17847,16211,0,0
33,70445,61675,1,0
33,21413,70004,0,0
23,39086,52719,1,0
36,8979,67251,1,0
30,89962,52395,0,0
28,88733,13924,0,0
40,62038,14665,1,0
28,86540,84248,0,0
35,71725,10099,1,0
22,34575,16673,0,0
30,4157,45403,1,0
34,49883,98385,0,0
20,96786,19351,0,0
31,56436,36694,0,0
29,73170,85163,1,1
36,39843,51868,0,0
24,81499,92083,0,0
20,3541,59836,1,0
39,96645,52718,1,0
38,79321,66777,1,0
20,69104,52731,1,1
29,73021,7580,0,0
21,98871,6541,0,0
25,39345,18960,1,0
40,29893,37015,0,0
36,91411,73033,1,0
22,24397,95022,0,0
34,8136,89841,0,0
31,54689,31375,0,0
25,70854,38469,1,0
40,21059,64701,0,0
24,50141,76669,0,0
33,75362,90466,1,0
24,67550,10620,1,0
36,70212,39824,1,0
33,14627,73173,1,0
32,3603,84593,0,0
31,95857,57995,1,0
24,86522,35379,1,0
22,1789,20762,0,0
39,81094,52743,1,0
20,17904,3572,1,0
23,28539,38926,1,0
27,1297,84709,1,0
38,62483,57395,0,0
34,16824,26692,0,0
26,87702,35866,0,0
22,76920,47375,1,1
40,20853,34928,0,0
39,61370,81178,1,0
25,9506,98004,1,0
29,53106,12934,1,0
26,36288,80061,1,0
34,31310,62707,1,0
32,83321,45370,1,0
37,31349,15760,0,0
20,30434,31032,1,0
31,52842,5334,0,0
36,92964,76001,0,0
28,75202,76502,0,0
34,41405,17040,0,0
22,24200,8210,0,0
29,70316,81099,0,0
37,20742,46671,0,0
30,5236,20330,1,0
27,87612,40493,1,1
