AOD,narration,cummulative_credit_amount,Output
92,1,666320,0
88,0,224233,0
87,1,448028,0
88,0,971200,0
92,0,887920,0
89,1,788237,1
87,1,406373,0
80,1,734516,1
81,1,543741,1
85,0,117006,0
92,0,701941,0
98,1,398205,0
87,0,320643,0
84,1,15712,0
81,1,275699,0
96,1,926989,0
93,1,42144,0
85,1,676566,1
83,0,910141,0
93,0,193883,0
96,1,368911,0
90,0,979806,0
93,0,434082,0
81,1,192452,0
81,1,370452,0
80,1,629094,1
88,0,928932,0
89,0,11132,0
86,1,805278,1
93,1,47039,0
94,1,613088,0
84,1,68874,0
92,0,452533,0
92,0,390366,0
92,0,959654,0
98,1,386004,0
95,1,44975,0
80,0,813443,0
85,0,164149,0
97,0,217218,0
91,1,429916,0
80,0,348910,0
96,1,581588,0
86,1,239396,0
92,0,699399,0
81,1,996125,1
99,1,751600,0
97,1,726638,0
96,0,124044,0
88,1,718099,1
80,0,603613,0
91,0,565893,0
98,1,313201,0
90,1,676211,0
98,1,840555,0
90,0,500719,0
96,1,606096,0
90,0,975862,0
88,1,839494,1
94,0,514273,0
89,0,68946,0
90,0,414329,0
84,0,868767,0
88,1,663199,1
100,1,460478,0
98,1,489164,0
94,1,746784,0
80,1,636738,1
100,0,561895,0
98,0,519072,0
96,0,243722,0
89,0,23684,0
94,0,108096,0
84,0,150276,0
94,0,278893,0
96,1,752204,0
94,0,493819,0
88,0,109351,0
92,0,923323,0
83,0,62771,0
87,0,127514,0
83,0,300572,0
80,0,666925,0
86,0,571330,0
90,1,366286,0
89,0,115380,0
97,0,596843,0
96,0,524909,0
94,1,395417,0
92,1,48819,0
87,1,771347,1
87,1,359394,0
100,1,675136,0
84,0,654367,0
92,0,161013,0
91,0,649555,0
95,0,186113,0
86,1,852319,1
99,0,559954,0
82,0,319618,0
89,0,478611,0
91,0,36907,0
85,0,699899,0
98,1,864692,0
86,1,707238,1
98,1,486653,0
86,0,486703,0
100,0,434423,0
92,0,554916,0
100,1,624038,0
88,1,682244,1
82,0,319708,0
95,1,311068,0
86,1,343291,0
87,1,654679,1
86,1,252083,0
100,1,568357,0
93,0,770002,0
89,1,907554,1
91,1,562136,0
97,1,967374,0
96,1,122263,0
92,1,967711,0
85,1,624652,1
99,0,805010,0
80,1,822053,1
80,1,867184,1
82,1,949912,1
96,0,10025,0
99,1,326537,0
87,0,309508,0
82,1,755743,1
91,1,660806,0
81,1,263579,0
89,0,3525,0
82,0,656723,0
89,1,226820,0
100,1,473450,0
82,0,501022,0
92,1,339460,0
92,0,252495,0
85,1,43695,0
95,1,470257,0
87,1,758639,1
94,0,339717,0
91,0,335570,0
90,1,698649,0
81,0,251161,0
80,1,928015,1
99,1,475449,0
100,0,34052,0
95,1,267233,0
99,1,762671,0
87,0,731282,0
96,0,954680,0
86,1,607990,1
96,0,801872,0
99,1,587484,0
96,1,121678,0
80,1,768098,1
86,0,590651,0
90,1,77046,0
90,1,331491,0
100,1,847702,0
88,0,148949,0
99,0,831321,0
88,1,90675,0
80,1,564962,1
90,1,963098,0
92,0,356488,0
86,1,399689,0
98,1,391674,0
89,1,474101,0
97,0,872184,0
90,1,326408,0
96,0,292668,0
85,0,451296,0
89,1,49173,0
87,1,581859,1
96,0,670006,0
84,1,598533,1
95,1,194745,0
86,0,352221,0
83,1,520840,1
82,0,981539,0
91,1,819330,0
81,0,633513,0
82,1,127221,0
85,1,812118,1
96,1,228143,0
100,1,248770,0
81,1,573365,1
97,0,381118,0
95,1,7868,0
91,0,315341,0
99,1,708325,0
80,1,861035,1
91,1,543709,0
88,1,568957,1
100,0,358686,0
80,0,656581,0
100,1,910711,0
99,0,955783,0
92,0,176063,0
96,0,309605,0
85,1,49099,0
98,0,792109,0
90,1,28834,0
85,0,217632,0
90,1,498156,0
97,0,113614,0
85,1,871968,1
96,0,251438,0
83,0,662463,0
83,0,22337,0
85,0,123672,0
91,1,944798,0
89,1,613307,1
96,1,26787,0
82,1,640913,1
89,1,109406,0
90,0,712327,0
92,0,570183,0
84,1,324275,0
92,0,652580,0
97,0,465724,0
92,0,679787,0
97,1,880600,0
96,0,275262,0
83,0,219338,0
97,1,810875,0
88,0,494657,0
91,1,726794,0
82,1,478365,0
98,1,445133,0
89,0,882947,0
81,1,355248,0
100,0,992604,0
95,1,223439,0
89,0,736046,0
84,1,768218,1
97,1,129720,0
93,0,780730,0
93,0,178080,0
97,0,643919,0
97,1,127254,0
83,1,912970,1
88,1,310829,0
94,0,978904,0
97,1,721162,0
81,1,507630,1
87,1,902667,1
81,1,674465,1
91,0,814552,0
98,1,419404,0
92,1,790832,0
95,0,721601,0
85,0,200996,0
94,1,641706,0
84,0,288308,0
85,1,405583,0
84,1,665163,1
95,1,19970,0
82,1,386219,0
96,1,183570,0
83,0,39713,0
96,0,521168,0
95,1,867059,0
90,0,935798,0
83,0,106917,0
85,1,237100,0
81,1,92936,0
95,0,629208,0
91,1,646582,0
83,1,12860,0
95,0,555667,0
95,1,164415,0
99,0,53786,0
93,1,17489,0
89,0,330976,0
84,0,652548,0
87,0,108887,0
100,0,137505,0
88,0,150315,0
93,1,298148,0
99,0,812342,0
99,0,554674,0
83,0,753202,0
88,0,722879,0
95,0,278378,0
91,1,47599,0
100,0,436073,0
80,1,715937,1
98,0,926782,0
92,1,730332,0
81,1,139208,0
94,1,882846,0
97,0,28760,0
100,1,283367,0
88,0,605585,0
83,1,933871,1
91,0,357995,0
95,0,16219,0
90,1,279364,0
82,1,288059,0
94,0,642265,0
83,1,702728,1
85,1,823801,1
98,1,48106,0
86,0,858644,0
95,1,753931,0
83,0,618515,0
90,1,940175,0
96,1,302565,0
96,1,817614,0
100,0,545012,0
84,1,28835,0
83,0,538166,0
82,1,213218,0
99,1,531672,0
83,0,413587,0
80,0,424844,0
92,1,98976,0
97,1,90531,0
89,1,705403,1
96,1,633516,0
85,1,177841,0
84,0,419720,0
89,0,5473,0
97,1,489892,0
83,0,284203,0
85,1,100075,0
91,0,541717,0
84,1,37066,0
96,1,555306,0
96,0,921935,0
87,1,431839,0
86,0,769279,0
89,0,863442,0
80,0,94556,0
85,0,470565,0
95,1,266131,0
97,1,354371,0
93,0,244355,0
99,0,973313,0
82,0,954014,0
83,1,68387,0
89,1,672686,1
91,0,530764,0
82,0,278865,0
99,0,292704,0
96,0,285802,0
89,0,977492,0
89,1,850986,1
85,0,788453,0
88,0,627249,0
80,0,80275,0
97,0,780394,0
99,1,849213,0
91,0,45117,0
90,1,583200,0
91,1,205300,0
87,0,921163,0
85,0,72163,0
84,0,575571,0
92,0,517571,0
81,0,723837,0
93,0,885338,0
88,0,455159,0
87,0,690744,0
96,1,742743,0
86,0,116255,0
88,0,588606,0
98,0,677398,0
90,0,758586,0
95,1,406412,0
96,1,151336,0
83,1,473173,0
97,0,616615,0
82,0,153297,0
94,0,115690,0
100,0,555839,0
80,0,849651,0
86,1,313837,0
80,1,893041,1
96,1,381653,0
93,1,351779,0
83,0,586136,0
91,0,38185,0
95,1,171395,0
85,0,978374,0
80,1,598984,1
98,0,94290,0
93,1,953686,0
92,0,691054,0
99,0,866755,0
95,0,923289,0
83,0,60150,0
97,0,409191,0
91,0,227598,0
84,1,397708,0
84,0,558323,0
88,0,17850,0
88,0,988669,0
90,1,330652,0
96,0,707481,0
93,0,931771,0
86,0,429603,0
98,0,621988,0
93,0,301666,0
82,1,880853,1
81,0,198228,0
97,0,897768,0
99,0,599362,0
84,0,975085,0
80,1,532557,1
81,1,423886,0
95,1,346763,0
96,0,710293,0
99,0,867840,0
95,0,92665,0
99,1,78888,0
89,0,293443,0
99,0,188259,0
84,1,794013,1
86,1,814691,1
99,1,18246,0
96,0,54443,0
83,0,817908,0
87,1,409296,0
80,1,840539,1
94,1,499674,0
100,0,819063,0
86,0,367565,0
89,1,369890,0
80,1,22576,0
80,1,489261,0
88,0,818435,0
87,0,553976,0
92,0,772011,0
99,0,379,0
87,1,67906,0
83,1,995664,1
91,0,476759,0
86,1,626295,1
83,1,586604,1
96,1,596733,0
94,0,319226,0
100,1,191038,0
82,0,930265,0
92,1,451109,0
96,1,397167,0
83,1,468402,0
90,0,176486,0
87,1,881012,1
95,0,120570,0
95,0,796113,0
92,0,304392,0
85,1,56575,0
94,0,202665,0
99,0,6072,0
96,1,985235,0
92,1,46478,0
82,1,747060,1
93,0,874046,0
94,1,752676,0
85,1,995013,1
97,0,510440,0
88,1,570442,1
80,0,742122,0
95,1,801082,0
88,0,617970,0
88,1,172391,0
92,0,719503,0
80,1,619877,1
89,0,627562,0
98,1,903233,0
96,1,403990,0
86,1,284540,0
82,1,370263,0
98,0,32633,0
83,1,647738,1
89,1,326944,0
87,0,646374,0
99,0,816151,0
82,1,931272,1
94,0,639696,0
86,0,129689,0
100,0,276452,0
89,1,278392,0
89,1,756126,1
85,0,115616,0
97,1,807543,0
93,0,792475,0
94,1,618269,0
96,1,417569,0
100,1,429778,0
80,1,870826,1
94,0,533785,0
80,1,13259,0
82,1,373389,0
88,1,49096,0
85,0,710132,0
80,1,557383,1
100,0,193148,0
90,0,446901,0
100,0,152217,0
97,1,132299,0
88,1,596240,1
84,0,884381,0
96,0,212829,0
96,1,492888,0
90,0,54588,0
98,1,955877,0
82,0,89597,0
91,0,898398,0
90,1,701904,0
97,1,307022,0
90,1,753709,0
89,1,29657,0
82,0,55355,0
95,0,587657,0
84,1,936913,1
84,0,496058,0
99,1,126675,0
92,1,898795,0
95,0,61570,0
94,1,688492,0
98,0,8167,0
89,0,640917,0
83,1,342341,0
82,1,452424,0
82,1,566204,1
85,1,457816,0
82,0,630424,0
95,1,708480,0
93,0,866935,0
83,0,197661,0
88,0,698440,0
94,0,585398,0
92,0,571941,0
88,1,579993,1
94,0,819572,0
99,0,228426,0
88,1,741868,1
93,0,486951,0
90,1,209015,0
83,1,958367,1
96,0,899353,0
85,0,146443,0
91,1,574109,0
80,0,874931,0
85,0,463701,0
87,1,195461,0
82,1,358248,0
100,0,550676,0
98,0,347034,0
96,1,243198,0
95,1,167877,0
91,1,241393,0
89,1,495643,0
83,0,503635,0
86,1,487729,0
83,1,777590,1
87,1,14083,0
90,0,819176,0
94,0,319460,0
83,0,756632,0
97,1,956214,0
81,1,194068,0
100,0,71032,0
100,0,917619,0
92,1,770656,0
82,1,974467,1
92,1,504641,0
91,1,742413,0
84,0,428808,0
83,0,901127,0
98,1,454501,0
87,0,661519,0
86,0,482578,0
93,0,941262,0
97,1,154270,0
81,1,323004,0
100,1,450631,0
88,1,432572,0
89,0,166767,0
90,0,952870,0
90,1,495191,0
90,1,408906,0
96,0,311133,0
85,0,436483,0
94,1,719406,0
93,0,529494,0
83,1,818762,1
87,1,306271,0
92,1,36461,0
95,1,264742,0
99,1,545308,0
80,1,310991,0
94,1,655126,0
87,1,687839,1
94,0,553181,0
84,1,758936,1
94,1,150916,0
82,0,376917,0
98,1,524806,0
93,1,719337,0
82,0,652908,0
91,0,343041,0
80,1,962181,1
99,1,108517,0
84,1,709522,1
86,0,564154,0
94,0,990199,0
85,1,606883,1
92,1,635519,0
91,1,755489,0
88,1,47616,0
94,1,338602,0
81,0,503748,0
89,1,512218,1
80,0,792244,0
86,0,802694,0
99,0,873752,0
98,1,549608,0
95,0,574213,0
89,0,404592,0
100,0,110312,0
94,1,714945,0
90,0,214925,0
85,1,432007,0
82,1,868812,1
94,1,926868,0
100,1,210894,0
95,1,4647,0
89,0,947095,0
83,1,41076,0
92,0,585769,0
98,0,631525,0
88,1,540446,1
80,0,269663,0
81,1,955295,1
88,1,80296,0
89,0,153955,0
92,1,463712,0
92,1,233788,0
85,0,385761,0
92,1,647753,0
93,0,101626,0
100,1,384137,0
81,1,435713,0
92,0,307600,0
95,1,663699,0
82,1,658394,1
93,1,164072,0
98,1,759858,0
85,0,700664,0
100,0,489045,0
91,1,184888,0
88,1,87893,0
80,1,885146,1
86,1,960866,1
93,0,156076,0
96,1,956142,0
87,0,663460,0
83,0,974204,0
91,1,157763,0
82,0,196935,0
80,1,164780,0
92,0,868171,0
93,0,265794,0
82,0,945391,0
84,0,343417,0
84,0,449116,0
89,0,35750,0
96,1,308228,0
81,0,599039,0
95,1,978797,0
87,0,380443,0
84,0,521555,0
87,0,433451,0
99,0,177894,0
87,1,807458,1
95,1,346303,0
87,0,32269,0
90,1,732423,0
95,1,841675,0
88,1,299474,0
88,0,163471,0
89,0,113343,0
93,0,615317,0
93,0,599118,0
80,1,48004,0
97,1,197103,0
92,0,76367,0
84,1,909141,1
83,1,272231,0
81,0,574126,0
85,1,928337,1
91,1,869734,0
81,1,168784,0
81,0,818309,0
93,1,3547,0
80,0,317070,0
92,1,44573,0
95,0,325149,0
87,0,373263,0
94,1,955232,0
82,1,810237,1
86,0,797037,0
86,1,848094,1
90,1,458792,0
88,1,451270,0
80,1,526226,1
80,0,814634,0
80,1,10760,0
100,0,332446,0
81,1,621134,1
80,0,240425,0
100,0,577767,0
85,1,456674,0
87,1,983426,1
93,1,769474,0
84,0,674423,0
82,1,509471,1
93,0,818106,0
84,0,263667,0
84,1,924276,1
82,1,49641,0
83,0,481391,0
84,0,22455,0
93,1,379055,0
82,0,954461,0
95,0,188962,0
99,1,29271,0
97,0,272804,0
99,0,883671,0
95,1,267429,0
87,0,852431,0
99,1,370446,0
86,0,15484,0
97,1,674076,0
89,1,303403,0
100,1,155449,0
94,0,206095,0
99,1,806906,0
96,1,540066,0
92,1,838429,0
88,0,475608,0
100,1,768979,0
94,1,230590,0
85,1,85054,0
93,0,925159,0
94,1,151086,0
82,0,670055,0
92,0,16570,0
81,0,166471,0
83,1,845439,1
81,1,699639,1
91,1,372225,0
81,0,439878,0
81,0,983661,0
86,1,912974,1
86,0,137733,0
83,0,538322,0
95,1,167191,0
89,1,648191,1
100,0,106294,0
100,0,191127,0
93,1,170280,0
88,0,939687,0
92,1,142638,0
91,0,701877,0
82,1,599308,1
89,1,394220,0
82,1,270237,0
84,1,33986,0
93,1,101498,0
90,1,817016,0
89,0,866046,0
86,0,390797,0
83,1,351267,0
89,1,31423,0
90,1,113233,0
93,0,263675,0
96,1,468796,0
88,0,519753,0
91,0,178704,0
99,1,879309,0
98,1,286315,0
85,0,467529,0
99,0,11617,0
100,1,419052,0
83,0,522697,0
95,1,614272,0
83,0,224089,0
92,0,851353,0
97,1,992973,0
98,1,911356,0
84,0,328049,0
87,0,253945,0
82,1,334290,0
90,1,907529,0
93,0,432345,0
99,0,957185,0
89,1,723447,1
91,1,402128,0
80,0,864565,0
82,1,988130,1
99,0,676859,0
93,0,187198,0
89,1,344281,0
97,1,89645,0
86,1,555537,1
87,0,242942,0
97,1,524724,0
97,0,369933,0
81,1,677339,1
86,0,304732,0
98,1,13642,0
88,0,357877,0
82,0,262751,0
100,1,242477,0
95,0,287354,0
99,0,500975,0
83,1,760218,1
98,0,572680,0
80,0,572105,0
83,1,156407,0
90,0,694026,0
93,0,449047,0
98,0,179440,0
100,1,856281,0
81,0,750090,0
88,0,599453,0
98,0,921514,0
92,0,892612,0
88,0,420149,0
97,0,209491,0
93,0,948936,0
91,1,666996,0
95,1,633644,0
97,1,753113,0
84,0,223907,0
86,0,499940,0
99,1,56282,0
100,1,586717,0
98,0,971373,0
89,1,750644,1
81,1,602388,1
94,1,293389,0
99,0,810473,0
80,1,340471,0
100,0,721480,0
82,1,796396,1
85,0,343458,0
94,1,371695,0
97,0,570979,0
89,1,232448,0
100,1,923963,0
88,1,828033,1
94,0,369233,0
91,1,444223,0
99,0,366210,0
95,0,986390,0
88,0,802593,0
85,0,137661,0
95,1,798832,0
91,0,847813,0
100,1,607225,0
90,0,676737,0
91,0,138328,0
85,0,355015,0
81,1,60787,0
98,1,27967,0
83,1,375903,0
100,1,121888,0
94,1,30184,0
100,0,888537,0
98,0,184451,0
83,0,926937,0
100,0,123777,0
99,1,21701,0
100,1,797507,0
87,0,587946,0
90,0,844730,0
88,1,373811,0
98,0,859142,0
99,1,63940,0
92,1,221704,0
91,1,11518,0
87,0,122863,0
83,0,380846,0
88,0,399245,0
97,1,120590,0
85,0,145162,0
81,1,934569,1
99,1,928543,0
92,1,460656,0
84,1,370870,0
86,0,497781,0
92,1,11143,0
97,1,13050,0
90,1,601184,0
98,1,812011,0
80,0,734385,0
92,0,136847,0
86,1,173733,0
97,0,557231,0
87,1,427476,0
98,0,926057,0
85,1,499150,0
88,0,302202,0
94,0,71895,0
85,1,32427,0
85,1,20012,0
84,0,915048,0
93,0,816193,0
81,0,957492,0
88,1,929414,1
88,0,808158,0
95,1,702929,0
83,0,441295,0
80,0,433826,0
88,1,813288,1
91,1,225074,0
91,0,275293,0
83,0,867093,0
83,0,988055,0
86,1,148784,0
88,1,945993,1
86,0,32324,0
100,1,349516,0
87,1,657736,1
83,0,775230,0
90,0,123287,0
100,1,569759,0
98,0,120181,0
97,1,777211,0
93,0,445944,0
99,1,895198,0
86,0,692994,0
98,1,858132,0
99,0,718861,0
96,0,383506,0
100,1,865584,0
90,0,265431,0
84,0,310212,0
89,1,339523,0
91,1,62675,0
100,1,64951,0
83,1,212956,0
91,0,13740,0
88,0,325399,0
92,0,938947,0
93,0,796820,0
93,0,269800,0
100,1,262083,0
94,0,953437,0
86,0,132214,0
92,1,711007,0
100,1,486170,0
96,1,462348,0
97,0,972714,0
82,1,522709,1
91,1,686191,0
80,1,419150,0
86,0,11759,0
95,1,600001,0
98,1,810871,0
89,1,865940,1
98,0,981888,0
86,1,156463,0
91,0,918863,0
83,1,344250,0
83,1,394655,0
81,0,194743,0
86,0,791227,0
98,1,764814,0
84,0,170312,0
90,0,77320,0
98,0,684232,0
94,1,265017,0
96,1,778692,0
99,1,376589,0
90,0,476889,0
86,0,686403,0
83,0,91170,0
99,0,571129,0
82,1,720410,1
93,0,585923,0
83,0,371092,0
89,0,497145,0
85,1,530425,1
99,1,538721,0
82,1,60205,0
87,0,553896,0
97,1,140790,0
83,0,213545,0
89,1,240232,0
98,1,508963,0
81,0,278764,0
95,1,4047,0
98,1,854527,0
96,1,95819,0
84,1,41825,0
81,0,78275,0
87,0,431151,0
80,1,271849,0
98,0,40149,0
92,0,814169,0
98,1,609919,0
80,0,76586,0
87,0,174798,0
100,0,305587,0
91,0,261824,0
95,1,486831,0
96,1,532441,0
83,1,210009,0
97,1,774559,0
93,1,748834,0
83,1,832720,1
92,1,72090,0
98,0,168153,0
87,0,246180,0
89,0,859119,0
90,0,649010,0
93,0,466314,0
85,1,462172,0
92,0,694451,0
92,1,532963,0
89,0,620756,0
87,0,352688,0
84,0,563722,0
86,1,256118,0
86,1,408583,0
87,1,42293,0
96,1,890960,0
87,1,283534,0
92,0,514211,0
100,1,376882,0
82,1,320946,0
89,0,429370,0
83,1,97585,0
84,0,779005,0
81,1,483673,0
100,0,54378,0
86,0,142411,0
89,0,102268,0
85,1,856054,1
85,1,307402,0
93,1,744813,0
85,0,291781,0
81,0,734860,0
81,0,664576,0
90,1,443188,0
91,0,143310,0
93,1,724534,0
84,1,212862,0
92,0,578637,0
94,1,577883,0
99,1,751457,0
93,0,633878,0
92,1,576897,0
84,0,56522,0
87,1,20620,0
84,0,919288,0
87,1,70412,0
84,0,343852,0
95,0,771975,0
83,0,787903,0
83,0,681516,0
82,1,312524,0
87,0,132461,0
99,0,937626,0
97,0,892707,0
86,0,648886,0
89,0,634508,0
100,0,605164,0
93,0,574195,0
91,1,996946,0
92,1,843851,0
84,0,177844,0
88,1,332053,0
100,1,816426,0
83,1,761340,1
98,0,117029,0
97,1,731874,0
88,0,341234,0
88,0,379822,0
89,0,368310,0
99,0,303157,0
98,1,553137,0
88,0,603938,0
95,0,974110,0
83,0,80996,0
88,0,640354,0
90,0,525145,0
96,0,489051,0
92,0,826140,0
86,0,117880,0
86,0,90864,0
85,1,6603,0
99,0,466053,0
100,0,765854,0
96,0,731923,0
98,0,971588,0
87,1,345013,0
97,0,750416,0
94,0,410752,0
85,0,277585,0
80,0,535788,0
96,1,157359,0
83,1,89272,0
81,0,458669,0
89,1,818760,1
84,0,540394,0
99,0,123388,0
99,0,942823,0
87,1,163277,0
90,1,110278,0
100,1,800297,0
92,1,223277,0
85,1,418441,0
97,0,637372,0
99,0,951848,0
89,1,897773,1
84,1,803148,1
87,0,245672,0
83,1,440223,0
94,1,884763,0
90,0,240034,0
82,1,473919,0
90,1,830698,0
94,0,726608,0
93,0,168443,0
95,0,162082,0
88,1,158009,0
88,1,184892,0
97,0,336639,0
81,0,203662,0
96,1,936353,0
84,1,730222,1
91,0,874446,0
88,1,977597,1
96,1,704119,0
86,0,767109,0
94,0,585049,0
84,1,961476,1
89,1,473656,0
90,1,694432,0
99,1,229217,0
85,0,759160,0
99,1,569046,0
88,1,215628,0
92,0,131596,0
93,0,561121,0
87,0,234998,0
88,1,761812,1
92,1,566385,0
80,1,781233,1
87,0,730694,0
82,0,335156,0
81,0,259524,0
96,1,729137,0
84,1,451308,0
89,1,258073,0
99,0,164066,0
90,1,21005,0
95,0,564932,0
87,0,899870,0
91,1,974719,0
89,1,245676,0
88,0,522011,0
96,1,972593,0
85,1,898758,1
98,0,178096,0
84,1,114808,0
90,1,535460,0
99,1,455337,0
89,1,153422,0
100,0,712400,0
90,1,261419,0
89,0,246162,0
92,1,982835,0
94,1,109038,0
89,1,292798,0
100,1,571060,0
85,0,15646,0
99,0,279044,0
100,1,730857,0
90,0,720837,0
90,0,708915,0
84,1,978267,1
89,0,770381,0
94,0,655748,0
81,1,330198,0
80,1,807084,1
85,0,886977,0
93,1,814171,0
90,1,41934,0
92,0,943453,0
87,1,357242,0
84,0,738385,0
91,0,507799,0
91,1,814228,0
94,1,434827,0
98,0,253880,0
84,0,814537,0
86,0,641496,0
92,0,335596,0
94,0,980582,0
84,0,764368,0
87,0,592440,0
84,0,148048,0
97,1,311609,0
82,0,308219,0
80,0,275947,0
99,0,493942,0
84,1,236624,0
83,1,648640,1
88,1,396662,0
86,0,803875,0
81,1,960113,1
92,1,672983,0
89,0,534433,0
93,0,915133,0
94,0,579689,0
80,1,275644,0
96,0,87595,0
84,1,816065,1
93,0,70144,0
88,0,395040,0
100,1,745048,0
92,0,609576,0
86,0,278585,0
91,1,236746,0
100,0,726153,0
95,1,528881,0
87,1,3886,0
89,0,417071,0
82,0,597716,0
96,0,994349,0
88,1,111609,0
90,0,266959,0
81,0,711349,0
85,0,522080,0
82,1,876237,1
84,0,95462,0
83,1,689007,1
93,0,835579,0
80,1,663932,1
94,0,955510,0
95,1,409282,0
80,0,321457,0
85,0,232018,0
93,0,425982,0
90,1,387960,0
88,0,91939,0
95,1,696302,0
88,1,458621,0
85,1,694544,1
98,1,894759,0
96,0,415977,0
100,0,406792,0
80,1,319872,0
97,0,54950,0
88,0,542941,0
97,0,225657,0
83,1,113009,0
95,1,573403,0
97,0,390796,0
87,1,700944,1
80,1,350387,0
88,1,253547,0
89,1,549950,1
86,1,103617,0
82,0,26602,0
93,1,289021,0
80,1,36065,0
83,1,928044,1
81,0,689430,0
92,0,627673,0
80,1,9297,0
85,0,882208,0
92,0,484257,0
84,0,331045,0
96,1,692186,0
99,1,189574,0
82,0,652822,0
81,0,360546,0
92,0,931534,0
100,1,498178,0
93,1,225956,0
97,1,956578,0
94,0,648168,0
92,1,259447,0
88,1,545641,1
82,0,164741,0
96,0,654120,0
88,1,671356,1
83,1,8226,0
81,0,696493,0
87,0,2912,0
81,0,935648,0
86,0,586881,0
96,0,491450,0
95,0,731633,0
97,1,843041,0
96,0,39312,0
94,1,197684,0
82,1,844931,1
85,1,522471,1
93,0,662410,0
95,1,417558,0
88,0,134222,0
93,0,169825,0
98,1,693785,0
96,0,103894,0
97,1,54900,0
91,0,889883,0
83,0,186174,0
81,1,39091,0
80,0,308658,0
89,0,535154,0
95,0,540894,0
90,1,941005,0
90,0,224646,0
82,1,782096,1
81,0,671929,0
90,0,950677,0
100,1,667582,0
80,1,885657,1
89,0,234168,0
81,1,445008,0
83,0,387598,0
81,0,478399,0
91,1,897939,0
87,0,263034,0
82,1,570011,1
99,1,509200,0
100,1,441392,0
87,0,929285,0
95,0,288682,0
98,0,231445,0
83,1,584623,1
92,1,288157,0
86,0,851089,0
94,0,666983,0
85,0,314937,0
85,1,970231,1
88,1,903898,1
88,0,613343,0
